"","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$"
"Jamaica","372.45","324.48","343.06","333.88","324.22","286.35","285.60","257.85","254.84","262.10","275.54","256.06","229.13","283.73","252.11","186.64","190.94","183.49","150.12","174.82","180.59","194.59"
"Japan","4347.34","4436.24","4463.28","4288.00","4148.37","4199.71","3754.92","4121.53","4357.68","5235.42","5106.90","4074.34","3698.76","3225.26","2783.26","2765.59","2895.21","2887.94","2653.75","2415.82","2492.46","2756.24"
"Jordan","299.07","284.53","294.19","289.54","289.58","279.30","303.23","306.81","320.87","342.94","338.35","319.84","333.81","289.99","219.41","199.65","196.47","186.11","172.25","175.38","171.83","161.24"
"Kazakhstan","402.98","338.30","270.01","272.60","278.01","259.87","314.33","374.39","363.27","369.38","297.24","243.64","245.99","251.25","177.07","173.97","142.36","110.73","74.47","58.06","50.32","49.95"
"Kenya","94.67","86.68","86.07","75.66","66.80","74.27","71.31","73.19","67.89","64.72","57.19","58.93","55.29","55.42","50.39","41.08","31.14","27.75","25.71","22.33","22.14","21.40"
"Kiribati","261.53","238.55","177.47","208.43","179.45","157.68","118.44","155.85","155.06","147.49","142.51","134.03","168.72","190.49","147.91","126.70","131.71","132.10","102.30","92.83","85.70","65.45"
"Kuwait","1860.78","1542.32","1643.57","1660.99","1361.48","1278.63","1235.62","1260.88","1188.28","1196.21","1143.14","1050.42","1025.88","1069.66","881.10","782.64","727.70","650.58","628.85","581.98","558.32","429.56"
"Kyrgyzstan","72.85","63.69","63.05","66.59","77.84","72.59","80.72","94.50","105.00","99.80","79.33","60.76","59.76","62.74","49.78","44.90","35.29","26.71","22.04","14.67","13.11","12.25"
"Lao People's Democratic Republic","68.88","52.16","67.82","57.36","61.60","54.51","52.15","45.61","43.57","32.52","27.16","34.58","35.78","26.81","24.81","19.28","17.38","16.27","17.62","12.92","14.47","14.10"
"Latvia","1897.95","1313.35","1183.12","1101.49","932.50","874.80","775.86","856.77","807.13","745.52","764.59","689.08","744.66","913.52","775.19","552.30","440.81","393.30","280.51","237.30","205.02","181.57"
